Internal,PowerfulOthers,Chance,Cluster
30,8,22,Cluster 2
28,16,16,Cluster 2
25,14,18,Cluster 2
27,12,18,Cluster 2
35,12,16,Cluster 2
33,14,13,Cluster 2
33,26,35,Cluster 1
27,11,22,Cluster 2
25,32,25,Cluster 1
43,6,9,Cluster 2
32,18,16,Cluster 2
26,10,15,Cluster 2
38,4,25,Cluster 2
26,13,19,Cluster 2
32,6,25,Cluster 2
29,11,12,Cluster 2
30,25,18,Cluster 1
36,20,18,Cluster 2
32,22,19,Cluster 2
36,35,23,Cluster 1
28,16,20,Cluster 2
31,21,20,Cluster 2
27,5,13,Cluster 2
36,27,36,Cluster 1
40,19,20,Cluster 2
28,11,16,Cluster 2
34,19,16,Cluster 2
35,13,15,Cluster 2
37,10,14,Cluster 2
38,17,13,Cluster 2
33,30,26,Cluster 1
32,7,15,Cluster 2
39,2,14,Cluster 2
27,28,19,Cluster 1
38,16,14,Cluster 2
23,17,17,Cluster 2
21,37,27,Cluster 1
26,15,13,Cluster 2
29,21,21,Cluster 1
20,24,20,Cluster 1
39,15,20,Cluster 2
27,16,10,Cluster 2
37,24,19,Cluster 2
26,11,14,Cluster 2
30,14,12,Cluster 2
36,18,23,Cluster 2
45,10,10,Cluster 2
35,13,10,Cluster 2
32,29,31,Cluster 1
38,13,17,Cluster 2
45,10,19,Cluster 2
32,17,25,Cluster 2
33,0,4,Cluster 2
38,7,8,Cluster 2
32,18,15,Cluster 2
30,21,14,Cluster 2
29,27,29,Cluster 1
39,19,19,Cluster 2
14,29,31,Cluster 1
28,25,29,Cluster 1
