condition,total_time_calendar
Calendar Anchor Condition,81.74
Map Anchor Condition,0.8
Calendar Anchor Condition,47.9
None Anchor Condition,77.86
None Anchor Condition,34.45
Calendar Anchor Condition,40.82
Calendar Anchor Condition,132.61
Map Anchor Condition,58.26
None Anchor Condition,8.0
Map Anchor Condition,0.0
Calendar Anchor Condition,84.27
None Anchor Condition,72.33
None Anchor Condition,19.1
Map Anchor Condition,65.82
Map Anchor Condition,0.0
Map Anchor Condition,2.6
None Anchor Condition,77.24
Calendar Anchor Condition,88.71
None Anchor Condition,22.36
Calendar Anchor Condition,138.22
None Anchor Condition,67.22
Calendar Anchor Condition,92.4
Calendar Anchor Condition,70.12
Map Anchor Condition,158.43
Map Anchor Condition,2.15
Map Anchor Condition,0.0
Map Anchor Condition,46.74
Map Anchor Condition,0.0
None Anchor Condition,72.52
Map Anchor Condition,149.98
Map Anchor Condition,11.4
Calendar Anchor Condition,89.37
None Anchor Condition,85.15
None Anchor Condition,116.26
Calendar Anchor Condition,40.8
Calendar Anchor Condition,16.56
None Anchor Condition,95.8
Map Anchor Condition,7.01
Map Anchor Condition,12.8
Map Anchor Condition,31.0
None Anchor Condition,18.29
Calendar Anchor Condition,87.69
None Anchor Condition,119.4
Calendar Anchor Condition,168.8
Map Anchor Condition,5.01
Calendar Anchor Condition,78.71
None Anchor Condition,104.82
Calendar Anchor Condition,42.97
Calendar Anchor Condition,180.78
None Anchor Condition,44.79
None Anchor Condition,112.87
Map Anchor Condition,0.24
None Anchor Condition,125.04
Calendar Anchor Condition,85.93
Calendar Anchor Condition,151.33
Map Anchor Condition,69.97
Map Anchor Condition,26.45
Calendar Anchor Condition,97.71
None Anchor Condition,25.19
None Anchor Condition,65.36
