condition,total_time_map
Calendar Anchor Condition,8.34
Map Anchor Condition,97.9
Calendar Anchor Condition,103.1
None Anchor Condition,125.16
None Anchor Condition,159.77
Calendar Anchor Condition,68.2
Calendar Anchor Condition,47.03
Map Anchor Condition,154.41
None Anchor Condition,189.66
Map Anchor Condition,98.59
Calendar Anchor Condition,42.84
None Anchor Condition,226.06
None Anchor Condition,170.47
Map Anchor Condition,70.22
Map Anchor Condition,54.6
Map Anchor Condition,152.25
None Anchor Condition,75.42
Calendar Anchor Condition,5.27
None Anchor Condition,113.05
Calendar Anchor Condition,22.26
None Anchor Condition,167.85
Calendar Anchor Condition,15.89
Calendar Anchor Condition,7.0
Map Anchor Condition,51.04
Map Anchor Condition,125.27
Map Anchor Condition,124.47
Map Anchor Condition,130.36
Map Anchor Condition,178.06
None Anchor Condition,140.55
Map Anchor Condition,190.45
Map Anchor Condition,81.3
Calendar Anchor Condition,7.31
None Anchor Condition,80.55
None Anchor Condition,20.43
Calendar Anchor Condition,33.22
Calendar Anchor Condition,97.22
None Anchor Condition,86.98
Map Anchor Condition,130.64
Map Anchor Condition,121.83
Map Anchor Condition,131.68
None Anchor Condition,122.22
Calendar Anchor Condition,6.0
None Anchor Condition,75.22
Calendar Anchor Condition,56.97
Map Anchor Condition,180.02
Calendar Anchor Condition,5.56
None Anchor Condition,189.42
Calendar Anchor Condition,70.75
Calendar Anchor Condition,32.94
None Anchor Condition,47.62
None Anchor Condition,127.26
Map Anchor Condition,131.65
None Anchor Condition,202.52
Calendar Anchor Condition,21.94
Calendar Anchor Condition,106.23
Map Anchor Condition,98.59
Map Anchor Condition,67.52
Calendar Anchor Condition,44.51
None Anchor Condition,77.01
None Anchor Condition,123.34
