Internal,PowerfulOthers,Chance,total_time_map,total_time_calendar
30,8,22,8.34,81.74
28,16,16,97.9,0.8
25,14,18,103.1,47.9
27,12,18,125.16,77.86
35,12,16,159.77,34.45
33,14,13,68.2,40.82
33,26,35,47.03,132.61
27,11,22,154.41,58.26
25,32,25,189.66,8.0
43,6,9,98.59,0.0
32,18,16,42.84,84.27
26,10,15,226.06,72.33
38,4,25,170.47,19.1
26,13,19,70.22,65.82
32,6,25,54.6,0.0
29,11,12,152.25,2.6
30,25,18,75.42,77.24
36,20,18,5.27,88.71
32,22,19,113.05,22.36
36,35,23,22.26,138.22
28,16,20,167.85,67.22
31,21,20,15.89,92.4
27,5,13,7.0,70.12
36,27,36,51.04,158.43
40,19,20,125.27,2.15
28,11,16,124.47,0.0
34,19,16,130.36,46.74
35,13,15,178.06,0.0
37,10,14,140.55,72.52
38,17,13,190.45,149.98
33,30,26,81.3,11.4
32,7,15,7.31,89.37
39,2,14,80.55,85.15
27,28,19,20.43,116.26
38,16,14,33.22,40.8
23,17,17,97.22,16.56
21,37,27,86.98,95.8
26,15,13,130.64,7.01
29,21,21,121.83,12.8
20,24,20,131.68,31.0
39,15,20,122.22,18.29
27,16,10,6.0,87.69
37,24,19,75.22,119.4
26,11,14,56.97,168.8
30,14,12,180.02,5.01
36,18,23,5.56,78.71
45,10,10,189.42,104.82
35,13,10,70.75,42.97
32,29,31,32.94,180.78
38,13,17,47.62,44.79
45,10,19,127.26,112.87
32,17,25,131.65,0.24
33,0,4,202.52,125.04
38,7,8,21.94,85.93
32,18,15,106.23,151.33
30,21,14,98.59,69.97
29,27,29,67.52,26.45
39,19,19,44.51,97.71
14,29,31,77.01,25.19
28,25,29,123.34,65.36
