Internal,PowerfulOthers,Chance
30,8,22
28,16,16
25,14,18
27,12,18
35,12,16
33,14,13
33,26,35
27,11,22
25,32,25
43,6,9
32,18,16
26,10,15
38,4,25
26,13,19
32,6,25
29,11,12
30,25,18
36,20,18
32,22,19
36,35,23
28,16,20
31,21,20
27,5,13
36,27,36
40,19,20
28,11,16
34,19,16
35,13,15
37,10,14
38,17,13
33,30,26
32,7,15
39,2,14
27,28,19
38,16,14
23,17,17
21,37,27
26,15,13
29,21,21
20,24,20
39,15,20
27,16,10
37,24,19
26,11,14
30,14,12
36,18,23
45,10,10
35,13,10
32,29,31
38,13,17
45,10,19
32,17,25
33,0,4
38,7,8
32,18,15
30,21,14
29,27,29
39,19,19
14,29,31
28,25,29
