Internal,PowerfulOthers,Chance,condition
30,8,22,Calendar Anchor
28,16,16,Map Anchor
25,14,18,Calendar Anchor
27,12,18,No Anchor
35,12,16,No Anchor
33,14,13,Calendar Anchor
33,26,35,Calendar Anchor
27,11,22,Map Anchor
25,32,25,No Anchor
43,6,9,Map Anchor
32,18,16,Calendar Anchor
26,10,15,No Anchor
38,4,25,No Anchor
26,13,19,Map Anchor
32,6,25,Map Anchor
29,11,12,Map Anchor
30,25,18,No Anchor
36,20,18,Calendar Anchor
32,22,19,No Anchor
36,35,23,Calendar Anchor
28,16,20,No Anchor
31,21,20,Calendar Anchor
27,5,13,Calendar Anchor
36,27,36,Map Anchor
40,19,20,Map Anchor
28,11,16,Map Anchor
34,19,16,Map Anchor
35,13,15,Map Anchor
37,10,14,No Anchor
38,17,13,Map Anchor
33,30,26,Map Anchor
32,7,15,Calendar Anchor
39,2,14,No Anchor
27,28,19,No Anchor
38,16,14,Calendar Anchor
23,17,17,Calendar Anchor
21,37,27,No Anchor
26,15,13,Map Anchor
29,21,21,Map Anchor
20,24,20,Map Anchor
39,15,20,No Anchor
27,16,10,Calendar Anchor
37,24,19,No Anchor
26,11,14,Calendar Anchor
30,14,12,Map Anchor
36,18,23,Calendar Anchor
45,10,10,No Anchor
35,13,10,Calendar Anchor
32,29,31,Calendar Anchor
38,13,17,No Anchor
45,10,19,No Anchor
32,17,25,Map Anchor
33,0,4,No Anchor
38,7,8,Calendar Anchor
32,18,15,Calendar Anchor
30,21,14,Map Anchor
29,27,29,Map Anchor
39,19,19,Calendar Anchor
14,29,31,No Anchor
28,25,29,No Anchor
