Cluster,total_interactions_calendar
Cluster 2,56
Cluster 2,0
Cluster 2,33
Cluster 2,61
Cluster 2,10
Cluster 2,22
Cluster 1,56
Cluster 2,23
Cluster 1,1
Cluster 2,0
Cluster 2,61
Cluster 2,32
Cluster 2,3
Cluster 2,45
Cluster 2,0
Cluster 2,0
Cluster 1,31
Cluster 2,67
Cluster 2,32
Cluster 1,63
Cluster 2,24
Cluster 2,52
Cluster 2,45
Cluster 1,79
Cluster 2,0
Cluster 2,0
Cluster 2,41
Cluster 2,0
Cluster 2,34
Cluster 2,50
Cluster 1,0
Cluster 2,45
Cluster 2,35
Cluster 1,50
Cluster 2,30
Cluster 2,0
Cluster 1,25
Cluster 2,0
Cluster 1,0
Cluster 1,0
Cluster 2,28
Cluster 2,47
Cluster 2,45
Cluster 2,87
Cluster 2,0
Cluster 2,50
Cluster 2,67
Cluster 2,27
Cluster 1,93
Cluster 2,19
Cluster 2,92
Cluster 2,1
Cluster 2,46
Cluster 2,48
Cluster 2,53
Cluster 2,47
Cluster 1,28
Cluster 2,84
Cluster 1,19
Cluster 1,35
