condition,Cluster,total_interactions_map
Calendar Anchor,Cluster 2,0
Map Anchor,Cluster 2,40
Calendar Anchor,Cluster 2,42
No Anchor,Cluster 2,26
No Anchor,Cluster 2,52
Calendar Anchor,Cluster 2,21
Calendar Anchor,Cluster 1,0
Map Anchor,Cluster 2,48
No Anchor,Cluster 1,55
Map Anchor,Cluster 2,41
Calendar Anchor,Cluster 2,0
No Anchor,Cluster 2,33
No Anchor,Cluster 2,81
Map Anchor,Cluster 2,20
Map Anchor,Cluster 2,44
Map Anchor,Cluster 2,54
No Anchor,Cluster 1,14
Calendar Anchor,Cluster 2,0
No Anchor,Cluster 2,37
Calendar Anchor,Cluster 1,1
No Anchor,Cluster 2,40
Calendar Anchor,Cluster 2,0
Calendar Anchor,Cluster 2,0
Map Anchor,Cluster 1,2
Map Anchor,Cluster 2,42
Map Anchor,Cluster 2,42
Map Anchor,Cluster 2,65
Map Anchor,Cluster 2,94
No Anchor,Cluster 2,33
Map Anchor,Cluster 2,28
Map Anchor,Cluster 1,59
Calendar Anchor,Cluster 2,0
No Anchor,Cluster 2,12
No Anchor,Cluster 1,0
Calendar Anchor,Cluster 2,11
Calendar Anchor,Cluster 2,51
No Anchor,Cluster 1,18
Map Anchor,Cluster 2,40
Map Anchor,Cluster 1,46
Map Anchor,Cluster 1,36
No Anchor,Cluster 2,45
Calendar Anchor,Cluster 2,0
No Anchor,Cluster 2,15
Calendar Anchor,Cluster 2,0
Map Anchor,Cluster 2,73
Calendar Anchor,Cluster 2,0
No Anchor,Cluster 2,46
Calendar Anchor,Cluster 2,28
Calendar Anchor,Cluster 1,0
No Anchor,Cluster 2,15
No Anchor,Cluster 2,21
Map Anchor,Cluster 2,47
No Anchor,Cluster 2,6
Calendar Anchor,Cluster 2,0
Calendar Anchor,Cluster 2,4
Map Anchor,Cluster 2,29
Map Anchor,Cluster 1,23
Calendar Anchor,Cluster 2,18
No Anchor,Cluster 1,34
No Anchor,Cluster 1,24
