condition,total_interactions_calendar
Calendar Anchor,56
Map Anchor,0
Calendar Anchor,33
No Anchor,61
No Anchor,10
Calendar Anchor,22
Calendar Anchor,56
Map Anchor,23
No Anchor,1
Map Anchor,0
Calendar Anchor,61
No Anchor,32
No Anchor,3
Map Anchor,45
Map Anchor,0
Map Anchor,0
No Anchor,31
Calendar Anchor,67
No Anchor,32
Calendar Anchor,63
No Anchor,24
Calendar Anchor,52
Calendar Anchor,45
Map Anchor,79
Map Anchor,0
Map Anchor,0
Map Anchor,41
Map Anchor,0
No Anchor,34
Map Anchor,50
Map Anchor,0
Calendar Anchor,45
No Anchor,35
No Anchor,50
Calendar Anchor,30
Calendar Anchor,0
No Anchor,25
Map Anchor,0
Map Anchor,0
Map Anchor,0
No Anchor,28
Calendar Anchor,47
No Anchor,45
Calendar Anchor,87
Map Anchor,0
Calendar Anchor,50
No Anchor,67
Calendar Anchor,27
Calendar Anchor,93
No Anchor,19
No Anchor,92
Map Anchor,1
No Anchor,46
Calendar Anchor,48
Calendar Anchor,53
Map Anchor,47
Map Anchor,28
Calendar Anchor,84
No Anchor,19
No Anchor,35
