Cluster,total_time_calendar
Cluster 2,81.74
Cluster 2,0.8
Cluster 2,47.9
Cluster 2,77.86
Cluster 2,34.45
Cluster 2,40.82
Cluster 1,132.61
Cluster 2,58.26
Cluster 1,8.0
Cluster 2,0.0
Cluster 2,84.27
Cluster 2,72.33
Cluster 2,19.1
Cluster 2,65.82
Cluster 2,0.0
Cluster 2,2.6
Cluster 1,77.24
Cluster 2,88.71
Cluster 2,22.36
Cluster 1,138.22
Cluster 2,67.22
Cluster 2,92.4
Cluster 2,70.12
Cluster 1,158.43
Cluster 2,2.15
Cluster 2,0.0
Cluster 2,46.74
Cluster 2,0.0
Cluster 2,72.52
Cluster 2,149.98
Cluster 1,11.4
Cluster 2,89.37
Cluster 2,85.15
Cluster 1,116.26
Cluster 2,40.8
Cluster 2,16.56
Cluster 1,95.8
Cluster 2,7.01
Cluster 1,12.8
Cluster 1,31.0
Cluster 2,18.29
Cluster 2,87.69
Cluster 2,119.4
Cluster 2,168.8
Cluster 2,5.01
Cluster 2,78.71
Cluster 2,104.82
Cluster 2,42.97
Cluster 1,180.78
Cluster 2,44.79
Cluster 2,112.87
Cluster 2,0.24
Cluster 2,125.04
Cluster 2,85.93
Cluster 2,151.33
Cluster 2,69.97
Cluster 1,26.45
Cluster 2,97.71
Cluster 1,25.19
Cluster 1,65.36
